sku;produto;marca;tipo_do_produto;preço_unitario;custo_unitario;cor
HL1;M510 Mouse sem fio;Logitech;Mouse;25.95;6.5;Vermelho
HL2;Mouse sem fio M170;Logitech;Mouse;19.95;5.0;Preto
HL3;Camisa Hashtag Eletro Masculina, P;Hashtag;Camisa;25.0;11.0;Branco
HL4;Camisa Hashtag Eletro Masculina, M;Hashtag;Camisa;25.0;11.0;Branco
HL5;Mouse sem fio D09;Multilaser;Mouse;11.99;3.4;Azul
HL6;Camisa Hashtag Eletro Masculina, G;Hashtag;Camisa;25.0;11.0;Branco
HL7;Camisa Hashtag Eletro Masculina, GG;Hashtag;Camisa;25.0;11.0;Branco
HL8;Camisa Hashtag Eletro Masculina, P;Hashtag;Camisa;27.5;12.4;Preto
HL9;Camisa Hashtag Eletro Masculina, M;Hashtag;Camisa;27.5;12.4;Preto
HL10;Camisa Hashtag Eletro Masculina, G;Hashtag;Camisa;27.5;12.4;Preto
HL11;Smart TV LG 65'' 4K UHD;LG;Televisão;820.0;172.2;Preto
HL12;Smart TV Led 32'' HD LG;LG;Televisão;250.0;62.5;Preto
HL13;Smart TV 43'' LG;LG;Televisão;378.0;83.2;Preto
HL14;Smart TV 50'' LG 4K;LG;Televisão;520.0;145.6;Preto
HL15;Smart TV 65'' QLED 4K Samsung;Samsung;Televisão;1260.0;378.0;Preto
HL16;Smart TV Led 43'';Samsung;Televisão;340.0;71.4;Preto
HL17;Samsung TV Smart 65'';Samsung;Televisão;740.0;214.6;Preto
HL18;Smart TV QLED 85'' 8K;Samsung;Televisão;10000.0;3000.0;Preto
HL19;Smart TV 60'' Samsung;Samsung;Televisão;720.0;201.6;Preto
HL20;Samsung Smart TV QLED 4k The Sero Tela Vertical;Samsung;Televisão;2000.0;440.0;Preto
HL21;Smart TV LED 32'' HD AOC;AOC;Televisão;250.0;62.5;Preto
HL22;Smart TV LED 43'' Ful HD AOC;AOC;Televisão;360.0;97.2;Preto
HL23;Smart TV Toshiba UDF 4K 55'';Toshiba;Televisão;640.0;185.6;Preto
HL24;Tela Toshiba QLED 65'' Quantum dot 4K;Toshiba;Televisão;800.0;192.0;Preto
HL25;Tela Toshiba QLED 55'' Quantum dot 4K;Toshiba;Televisão;600.0;144.0;Preto
HL26;Smart TV LED 50'' Ful HD Semp;SEMP;Televisão;500.0;125.0;Preto
HL27;Smart TV LED 43'' Ful HD Semp;SEMP;Televisão;380.0;91.2;Preto
HL28;Smart TV LED 50'' Ful HD Semp;SEMP;Televisão;500.0;140.0;Preto
HL29;Smart Google TV 50'' LED Philco Sem Borda;Philco;Televisão;400.0;120.0;Preto
HL30;TV LED 39'' Philco;Philco;Televisão;279.8;56.0;Preto
HL31;TCL Smart TV Roku 32'' Série 3;TCL;Televisão;158.0;36.3;Preto
HL32;TCL 40'' Classe 3 - Series HD LED;TCL;Televisão;220.0;59.4;Preto
HL33;Garmin Smartwatch Forerunner 245;Garmin;Relógio;440.0;96.8;Prata
HL34;Garmin Smartwatch Forerunner 945;Garmin;Relógio;720.0;187.2;Prata
HL35;Xiaomi Mibro Air;Xiaomi;Relógio;46.4;11.6;Prata
HL36;Xiaomi Maimo;Xiaomi;Relógio;74.0;15.5;Prata
HL37;Smartwatch B57;Xiaomi;Relógio;36.0;7.9;Preto
HL38;Smartwatch Xiaomi Amazfit Verge Lite;Xiaomi;Relógio;114.0;23.9;Preto
HL39;Samsung Galaxy Watch3 41m;Samsung;Relógio;280.0;72.8;Preto
HL40;Samsung Galaxy Watch3 46mm;Samsung;Relógio;290.0;72.5;Preto
HL41;Samsung SM-R89;Samsung;Relógio;380.0;110.2;Preto
HL42;Samsung Galaxy Watch4 Classic BT 46mm;Samsung;Relógio;320.0;83.2;Prata
HL43;iPhone 13 Pro Max 128GB;Apple;Celular;1099.0;329.7;Preto
HL44;iPhone 13 Pro Max 256GB;Apple;Celular;1199.0;287.8;Branco
HL45;iPhone 13 Pro Max 512GB;Apple;Celular;1399.0;377.7;Vermelho
HL46;iPhone 13 Pro Max 1TB;Apple;Celular;1599.0;367.8;Vermelho
HL47;iPhone 13 Pro 128GB;Apple;Celular;999.0;269.7;Vermelho
HL48;iPhone 13 Pro 256GB;Apple;Celular;1099.0;329.7;Vermelho
HL49;iPhone 13 Pro 512GB;Apple;Celular;1299.0;298.8;Vermelho
HL50;iPhone 13 Pro 1TB;Apple;Celular;1499.0;329.8;Vermelho
HL51;iPhone 13 128GB;Apple;Celular;799.0;215.7;Vermelho
HL52;iPhone 13 256GB;Apple;Celular;899.0;197.8;Vermelho
HL53;iPhone 13 512GB;Apple;Celular;1099.0;329.7;Vermelho
HL54;iPhone 13 Mini 128GB;Apple;Celular;699.0;167.8;Vermelho
HL55;iPhone 13 Mini 256GB;Apple;Celular;799.0;215.7;Vermelho
HL56;iPhone 13 Mini 512GB;Apple;Celular;999.0;269.7;Vermelho
HL57;iPhone SE 64GB;Apple;Celular;429.0;115.8;Vermelho
HL58;iPhone SE 128GB;Apple;Celular;479.0;138.9;Vermelho
HL59;iPhone SE 256GB;Apple;Celular;579.0;115.8;Preto
HL60;iPhone 12 Pro Max 128GB;Apple;Celular;949.0;256.2;Preto
HL61;iPhone 12 Pro Max 256GB;Apple;Celular;1049.0;304.2;Preto
HL62;iPhone 12 Pro Max 512GB;Apple;Celular;1249.0;362.2;Preto
HL63;iPhone 12 Pro Max 1TB;Apple;Celular;1449.0;347.8;Preto
HL64;iPhone 12 Pro 128GB;Apple;Celular;849.0;178.3;Preto
HL65;iPhone 12 Pro 256GB;Apple;Celular;949.0;256.2;Prata
